id,status,video_id,title,url,posted_date,upload_time,language,platform,series_name,episode_number,created_by,created_at,genre,theme,world_setting,tone,emotion_type,target_emotion,audience_type,trend_reference,main_character,main_character_type,main_character_trait,sub_character,villain_character,character_relationship,character_count,hook,zero_second_abnormality,viewer_question,scroll_stop_reason,first_visual_impact,thumbnail_frame_description,opening_motion,opening_camera,opening_sound,story_structure,setup_phase,understanding_phase,surprise_phase,peak_phase,loop_phase,loop_type,ending_type,gimmick_main,gimmick_sub,scale_type,transformation_type,physics_style,chaos_level,cute_level,comedy_level,action_level,visual_style,art_style,camera_style,lighting_style,color_style,motion_style,background_style,special_effects,scene_density,focus_target,dialogue_hook,dialogue_main,sound_hook,music_style,sound_effects,voice_style,codex_prompt_1,codex_prompt_2,visual_prompt,negative_prompt,seedance_prompt,image_model,video_model,workflow_name,generation_settings,views,likes,comments,shares,subscribers_gained,impressions,ctr,shorts_feed,traffic_source,average_view_duration,average_view_percentage,rewatch_rate,watch_time_hours,result,result_score,success_reason,failure_reason,viewer_retention_drop_point,strongest_moment,weakest_moment,algorithm_assumption,competitor_similarity,next_idea,improvement_plan,variation_direction,recommended_hook,recommended_character,recommended_gimmick,tags,keywords,search_keywords,visual_keywords,emotion_keywords,hook_keywords,,,,,,,,,,
1,,bnSTieHk8SE,巨大メロンソーダに吸い込まれる絶叫ドーナツ！AIで作りました！,https://youtube.com/shorts/bnSTieHk8SE,2026/5/7,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,,ポジティブでドタバタ,,,,,トマト王,トマト王,,,,,,,0秒で王冠が爆発,,,,,,,,野菜たちが驚く,,,,,,,,,,,,,,,,,3Dアニメ風,かわいいシネマ調,,,,,,,中,,,,,,,,,,,,,,,,,3,0,0,,0,,,0,,0,0,,0,strong,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,JPx6BzPWz2E,冷蔵庫の法廷で有罪判決を受ける巨大いちご！AIで作りました！,https://youtube.com/shorts/JPx6BzPWz2E,2026/5/7,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,,ポジティブでドタバタ,,,,,ドーナツ,ドーナツ,,,,,,,メロンソーダに吸い込まれる,,,,,,,,「吸われる側」から「巨大化して反撃」,,,,,,,,,,,,,,,,,3Dアニメ風,かわいいシネマ調,,,,,,,中,,,,,,,,,,,,,,,,,9,0,0,,0,,,2,,0,0,,0,strong,80,フォークが怖い。観客の反応も臨場感がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,SD_tXInsXT0,巨大トースターから飛び出す泣き叫ぶ食パン市長！AIで作りました！,https://youtube.com/shorts/SD_tXInsXT0,2026/5/7,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,,ポジティブでドタバタ,,,,,巨大いちご,巨大いちご,,,,,,,0秒で巨大フォーク、有罪判決、泣く巨大いちご,,,,,,,,氷の檻、証拠、巨大化、種の暴発、ヘタの盾、王座出現,,,,,,,,,,,,,,,,,3Dアニメ風,かわいいシネマ調,,,,,,,中,,,,,,,,,,,,,,,,,6,0,0,,0,,,0,,0,0,,0,average,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,lSWj8FS4vac,巨大ミキサーの刃から逃げる泣き叫ぶバナナ！AIで作りました！,https://youtube.com/shorts/lSWj8FS4vac,2026/5/7,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,,ポジティブでドタバタ,,,,,食パン市長,食パン市長,,,,,,,0秒で発射、火花、黒煙、絶叫顔,,,,,,,,回転、連射、バター放水、巨大化、レバー反撃、光の停止,,,,,,,,,,,,,,,,,3Dアニメ風,かわいいシネマ調,,,,,,,中,,,,,,,,,,,,,,,,,14,0,1,,0,,,0,,0,0,,0,viral,95,ミキサーが迫力がある。スピーディーな展開。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,elRZHAn0nX4,巨大フライ返しで宙に投げられる目玉焼き刑事！AIで作りました！,https://youtube.com/shorts/elRZHAn0nX4,2026/5/7,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,,ポジティブでドタバタ,,,,,バナナ,バナナ,,,,,,,0秒で落下中のバナナ、回転刃、赤い警告光,,,,,,,,皮パラシュート、失敗、ぶどうロープ、涙の火花、氷リング、列車出現,,,,,,,,,,,,,,,,,3Dアニメ風,かわいいシネマ調,,,,,,,中,,,,,,,,,,,,,,,,,4,0,0,,0,,,7,,0,0,,0,average,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,32fFM55JT8Y,巨大自動改札に吸い込まれる泣き顔たい焼き駅長！AIで作りました！,https://youtube.com/shorts/32fFM55JT8Y,2026/5/8,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,食品たちが通勤する朝の駅,ポジティブでドタバタ,焦りから奇跡,何これ！？から助かった！,,,たい焼き駅長,たい焼き,まじめで涙目だが根性がある,,,,1,0秒で巨大自動改札に吸い込まれるたい焼き駅長,0秒で巨大改札バーがたい焼き駅長の顔の目前で暴走閉鎖,たい焼き駅長は改札に吸い込まれるの？,巨大改札と泣き顔アップで危機が即伝わる,中央のたい焼き駅長を赤い改札バーと吸引風が画面いっぱいに囲む,朝の駅構内で泣き顔のたい焼き駅長が巨大改札に吸い込まれそうな瞬間,改札バーが火花を散らして急接近しカメラが揺れる,超広角ローアングルから顔面へ急接近,ピンポーン、ギュイーン、バチン,暴走改札の危機から奇跡の駅復旧へ繋ぐ高速ループ,0秒で巨大改札バーが暴走してたい焼き駅長を吸い込む,駅中の改札が連鎖暴走し食品通勤客がパニックになる,光る切符が巨大化してたい焼き駅長を弾き返す,たい焼き駅長が金色に発光し改札全体を一瞬で復旧させる,復旧した改札が最後にまた赤く点滅して最初の閉鎖へ戻る,赤ランプ再点滅ループ,復旧直後の再暴走予告,巨大自動改札,光る切符、赤ランプ、吸引風、駅全体の復旧,巨大サイズ差,暴走改札が奇跡の光ゲートへ変化,吸引、弾き返し、コミカルな反発,8,8,8,8,3Dアニメ風,かわいいシネマ調,急接近、ローアングル、回転ズーム,朝の斜光と赤い警告ライトから金色の復旧光へ,金色のたい焼き、赤いバー、青白い駅、最後は金色の光,急接近、吸引、回転、発光、全復旧、再点滅,整理された朝の駅改札,火花、風の渦、光る切符、金色の波紋,中,たい焼き駅長の顔と巨大改札バー,,,ピンポーン！ギュイーン！バチン！,高速コメディ,警告音、吸引音、火花、復旧チャイム,なし,,Codex2: 15秒構成化,0秒で巨大改札バーが泣き顔たい焼き駅長の目前に迫り、15秒で暴走から奇跡の復旧、最後に赤ランプ再点滅でループ,"text, logo, human, horror, gore, dirty, cluttered, static shot, long dialogue","15 second 9:16 YouTube Shorts, start with the reference image in motion: cute taiyaki stationmaster centered, giant red ticket gate bars slam shut, camera shake, suction wind, glowing ticket, station gates chain-react, taiyaki bounces back and glows gold, the whole station is restored, final red warning light blinks and loops back to the first gate slam, no text, no logo, anthropomorphic food characters only, fast pacing, cinematic lighting, high contrast",,,,,4,0,0,,0,,,2,,0,0,,0,failed,10,,怖くない。たいくつ。,3秒以降に変化が止まると離脱しやすい,10秒でたい焼き駅長が金色に発光して駅全体を復旧させる瞬間,1〜3秒の状況理解が説明的になると弱い,,,次は券売機が巨大ガチャ化して別の食品キャラを吐き出す展開,各秒に赤ランプ、吸引、発光、復旧の視覚変化を必ず入れる,駅ギミック継続、調理器具ではなく公共設備の異常で差別化,0秒で巨大改札バーが顔の目前で暴走閉鎖,たい焼き駅長,暴走改札が奇跡の光ゲートへ変わる,食品キャラ;たい焼き;駅;改札;15秒構成;ループ,たい焼き駅長;巨大改札;暴走;光る切符;駅復旧,食品キャラ ショート動画 たい焼き 改札,赤い改札バー;吸引風;金色発光;駅構内;再点滅,焦り;驚き;奇跡;安心;再パニック,0秒;巨大改札;暴走閉鎖;吸い込まれる;ループ,,,,,,,,,,
7,,gwG2-pgtR7Q,巨大クレーンアームに持ち上げられる涙目おにぎり警備員！AIで作りました！,https://youtube.com/shorts/gwG2-pgtR7Q,2026/5/8,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,食品たちが遊ぶ夜のゲームセンター,ポジティブでドタバタ,焦りから大逆転,何これ！？から助かったと思ったのに！,,,おにぎり警備員,おにぎり,まじめで小心者だが最後に踏ん張る,,,,1,0秒で巨大クレーンアームに持ち上げられる涙目おにぎり警備員,0秒で巨大クレーンアームがおにぎり警備員の頭をつかんで持ち上げる,おにぎり警備員は景品にされるの？,巨大アームと涙目顔アップで景品化の異常が即伝わる,中央の涙目おにぎりを銀色アームが上からつかみネオン空間へ引き上げる,ネオンのゲームセンターで巨大クレーンアームに頭をつかまれたおにぎり警備員の絶叫顔,アームがガシャンと閉じておにぎり警備員を床から浮かせる瞬間,真下から見上げる超広角ローアングルで顔面へ急接近,ガシャン、ピコピコ、ブブー,景品化の危機から巨大当たりカプセル暴走へ繋ぐ高速ループ,0秒で巨大アームがおにぎり警備員を景品のようにつかむ,ゲームセンター中の筐体が暴走し食品たちが景品カプセルにされかける,おにぎり警備員の海苔が非常ブレーキのように伸びてアームに絡む,巨大当たりカプセルが割れてネオンのクッション山が完成し全員を受け止める,安心した直後に当たり穴が光り別の巨大アームが上から降りる,当たり穴発光からアーム再降下ループ,助かった直後の再景品化予告,巨大クレーンゲームのアーム,当たり穴、巨大景品カプセル、ネオンのクッション山,巨大サイズ差,景品カプセルが巨大クッション山へ変化,つかむ、振り回す、跳ね返る、やわらかく着地,8,8,8,8,3Dアニメ風,かわいいシネマ調,ローアングル急接近、横回転、最後に最初の見上げ構図へ戻る,ピンクとシアンのネオンから虹色の当たり光へ,白黒のおにぎり、銀色アーム、ピンクとシアンのネオン、虹色カプセル,急降下、つかむ、振り子揺れ、海苔ブレーキ、カプセル破裂、再降下,整理された夜のゲームセンター,金属火花、ネオン反射、星形スパーク、虹色カプセル光,中,おにぎり警備員の顔と巨大アーム,,,ガシャン！ピコピコ！ブブー！,高速アーケード風コメディ,金属音、警告音、カプセル破裂音、当たりチャイム,なし,2026_05_08_giant_claw_codex1.txt,Codex2: 15秒構成化,0秒で巨大クレーンアームがおにぎり警備員を持ち上げ、15秒で巨大カプセル暴走から当たり穴再発光へループする,"text, logo, human, horror, gore, dirty, cluttered, static shot, long dialogue","15 second 9:16 YouTube Shorts, start from the reference image: cute rice ball security guard centered, giant silver claw machine arm grabs and lifts it, camera shake and neon arcade lights, claw swings the rice ball toward the prize chute, glowing capsules roll out, the rice ball seaweed stretches like an emergency brake, a giant rainbow prize capsule bursts into a soft cushion mountain, everyone is saved, then the prize chute glows again and another giant claw descends to loop back, no text, no logo, anthropomorphic food characters only, fast pacing, cinematic lighting, high contrast",,,,,4,0,1,,0,,,,,0,0,,0,strong,90,涙目おにぎり警備員の感情が分かりやすい,,3〜5秒で振り回しだけが続くと離脱しやすい,10秒で巨大当たりカプセルが割れてネオンのクッション山が完成する瞬間,1〜3秒の筐体暴走が背景だけになると弱い,,,次はプリクラ機のフラッシュで食品キャラが巨大シール化する展開,各秒にアーム位置、表情、カプセル数、光色の変化を入れる,ゲームセンター内の別筐体へ展開しつつ景品化ギミックを継続,0秒で巨大クレーンアームが頭をつかんで持ち上げる,おにぎり警備員,巨大アームと当たり穴再発光ループ,食品キャラ;おにぎり;ゲームセンター;クレーンゲーム;15秒構成;ループ,おにぎり警備員;巨大クレーンアーム;景品化;当たりカプセル;ゲームセンター,食品キャラ ショート動画 おにぎり クレーンゲーム,巨大アーム;当たり穴;虹色カプセル;ネオン;涙目アップ,焦り;驚き;大逆転;安心;再パニック,0秒;巨大クレーン;景品化;持ち上げ;ループ,,,,,,,,,,
8,,bXr--eIRUYM,巨大スーツケースに押し潰されそうな涙目マカロンCA！AIで作りました！,https://youtube.com/shorts/bXr--eIRUYM,2026/5/8,,ja,YouTube Shorts,,,,2026/5/8,コメディ,食品キャラクターの世界,食品たちが利用する明るい空港の手荷物受取場,ポジティブでドタバタ,焦りから奇跡,何これ！？から助かったと思ったのに！,,,マカロンCA,マカロン,上品だが慌てやすく最後に機転を利かせる,,,,1,0秒で巨大スーツケースに押し潰されそうな涙目マカロンCA,0秒で巨大スーツケースが手荷物レーンから飛び出しマカロンCAの目前に迫る,マカロンCAは巨大荷物に押し潰されるの？,巨大黄色スーツケースと涙目顔アップで危機が即伝わる,中央の涙目マカロンCAへ巨大な黄色スーツケースが斜め上から迫る,明るい空港で巨大スーツケースに押し潰されそうなマカロンCAの絶叫顔,ベルトコンベアから巨大スーツケースが跳ね上がり主役へ急接近する瞬間,荷物レーン目線の超広角ローアングルで顔面へ急接近,ゴトン、ピンポン、ブオーン,巨大荷物の圧迫危機から救命クッション化へ繋ぐ空港ループ,0秒で巨大スーツケースが手荷物レーンから飛び出しマカロンCAへ迫る,手荷物レーンが暴走して巨大荷物を次々に吐き出す,マカロンCAのスカーフが荷物タグをまとめて引っ張り非常停止ラインを作る,巨大スーツケースが開いてふわふわ旅行クッションへ変形し主役を包む,安心した直後にレーン奥からさらに巨大なスーツケースの角が現れる,レーン奥の巨大荷物再出現ループ,救助直後の次の荷物予告,巨大スーツケース,暴走手荷物レーン、光る荷物タグ、旅行クッション,巨大サイズ差,巨大スーツケースが救命クッションへ変形,跳ね上がり、急接近、回転、ふわふわ吸収,8,9,8,8,3Dアニメ風,かわいいシネマ調,荷物レーン目線の急接近、横スライド、最後に最初のローアングルへ戻る,白い空港照明と黄色警告ライトからパステルの奇跡光へ,ピンクのマカロン、黄色スーツケース、白と水色の空港、パステル紙吹雪,飛び出す、急接近、ベルト高速化、タグ旋回、クッション変形、再出現,整理された明るい空港の手荷物受取場,荷物タグの紙吹雪、警告ライン、パステル光、スピード線,中,マカロンCAの顔と巨大スーツケース,,,ゴトン！ピンポン！ブオーン！,軽快な空港コメディ,重い荷物音、警告チャイム、ベルト駆動音、クッション展開音,なし,2026_05_08_giant_suitcase_codex1.txt,Codex2: 15秒構成化,0秒で巨大スーツケースがマカロンCAへ迫り、15秒で救命クッション化からさらに巨大な荷物再出現へループする,"text, logo, human, horror, gore, dirty, cluttered, static shot, long dialogue","15 second 9:16 YouTube Shorts, start from the reference image: cute pink macaron flight attendant centered, giant yellow suitcase bursts out from airport baggage carousel and rushes toward her, camera shake, bright airport lights, baggage belt speeds up and throws more suitcases, luggage tags swirl into a warning ribbon, the giant suitcase opens and transforms into a soft pastel travel cushion that saves the macaron, then a bigger suitcase corner appears from the far end of the carousel to loop back, no text, no logo, anthropomorphic food characters only, fast pacing, cinematic lighting, high contrast",,,,,19,0,1,,0,,,,,0,0,,0,viral_candidate,90,巨大スーツケースの異常性が強い。涙目マカロンCAの感情が瞬時に伝わる。職業キャラで世界観理解が早い。巨大物とのサイズ差が強い。繰り返し視聴性能が高い。,,3〜5秒でベルト移動だけになると離脱しやすい,10秒で巨大スーツケースが開いてふわふわ旅行クッションへ変形する瞬間,1〜3秒の空港状況説明が背景だけになると弱い,,,次は搭乗ゲートの巨大スタンプで食品キャラがパスポート写真化する展開,各秒に荷物の距離、ベルト速度、タグの動き、表情の変化を入れる,空港内の別設備へ展開しつつ巨大荷物ギミックで差別化,0秒で巨大スーツケースが手荷物レーンから飛び出す,マカロンCA,巨大スーツケースの救命クッション化と再出現ループ,食品キャラ;マカロン;空港;手荷物レーン;スーツケース;15秒構成;ループ,マカロンCA;巨大スーツケース;手荷物レーン;救命クッション;空港,食品キャラ ショート動画 マカロン 空港 手荷物,巨大スーツケース;荷物タグ;パステルクッション;空港;涙目アップ,焦り;驚き;奇跡;安心;再パニック,0秒;巨大荷物;手荷物レーン;急接近;ループ,,,,,,,,,,
9,,yGgHqNQ4RY8,巨大レジスキャナーに読み取られる涙目プリン店長！AIで作りました！,https://youtube.com/shorts/yGgHqNQ4RY8,2026/5/8,,ja,YouTube Shorts,,,,2026/5/9,コメディ,食品キャラクターの世界,食品たちが買い物する明るいスーパーのセルフレジ,ポジティブでドタバタ,焦りから大逆転,何これ！？から助かったと思ったのに！,,,プリン店長,プリン,まじめでぷるぷる震えやすく最後に店長らしく踏ん張る,,,,1,0秒で巨大レジスキャナーに読み取られる涙目プリン店長,0秒で巨大セルフレジの赤いレーザーがプリン店長の顔を横切り巨大価格シールが目前に迫る,プリン店長は商品として会計されるの？,赤いレーザーと巨大価格シールが顔の目前にあり逃げ場のない商品化危機が一瞬で伝わる,中央の涙目プリン店長の顔を赤いスキャナー光が横切り巨大価格シールが斜め前から迫る,明るいスーパーのセルフレジで赤いレーザーに読み取られ巨大価格シールを貼られそうなプリン店長の絶叫顔,赤いレーザーが顔を横切り価格シールがバチンと貼られる寸前,セルフレジ台の上から見上げる超広角ローアングルで顔面へ急接近,ピッ、ブブー、バチン,商品化危機から店長認証への反転で原因回収する高速ループ,0秒で赤いレーザーが顔を横切り巨大価格シールが目前に迫る,セルフレジ台が暴走し食品客まで商品として読み取り始める,プリン店長のカラメルが光り価格シールをレシートリボンのように巻き取る,巨大価格シールが店長認証バッジへ変形しセルフレジ全体を一瞬だけ停止させる,認証バッジの光が強すぎて奥の巨大スキャナーを起動し最初の赤レーザーへ戻る,店長認証が次の巨大スキャンを起動する原因回収ループ,助かった原因が次の危機になる再起動予告,巨大レジスキャナー,巨大価格シール、レシートリボン、店長認証バッジ,巨大サイズ差,巨大価格シールが店長認証バッジへ変形,レーザー走査、シール連射、ぷるぷる反発、リボン巻き取り,8,8,9,8,3Dアニメ風,かわいいシネマ調,ローアングル急接近、横スライド、最後に最初の顔面構図へ戻る,白いスーパー照明と赤いスキャナー光から金色の認証光へ,黄色いプリン、赤いレーザー、白いセルフレジ、金色認証光,読み取り、急接近、シール連射、ぷるぷる反発、巻き取り、再スキャン,整理された明るいスーパーのセルフレジ,赤いレーザー線、価格シールの嵐、レシートリボン、金色認証光,中,プリン店長の顔と赤いレーザー,,,ピッ！ブブー！バチン！,高速スーパーコメディ,スキャン音、警告音、シール発射音、レシート巻き取り音、認証チャイム,なし,2026_05_09_giant_scanner_codex1.txt,Codex2: analysis-reflected 15秒構成化,0秒で巨大レジスキャナーがプリン店長を読み取り、15秒で価格シールが店長認証に変形し、その認証光が次の巨大スキャンを起動してループする,"text, logo, human, horror, gore, dirty, cluttered, static shot, long dialogue, weak danger","15 second 9:16 YouTube Shorts, start from the reference image: cute yellow pudding store manager centered on a bright supermarket self checkout counter, giant red barcode scanner laser cuts across the face, huge price sticker rushes in, camera shake, self checkout belt starts moving, price stickers fire rapidly, pudding trembles and bounces them away, caramel top glows, stickers become a long receipt ribbon, the ribbon wraps into a golden manager authentication badge and freezes the register, then the badge light accidentally activates a larger scanner in the background and the red laser returns to loop, no text, no logo, anthropomorphic food characters only, fast pacing, cinematic lighting, high contrast",,,,,19,0,0,,0,,,,,0,0,,0,,,,,3〜5秒でシール連射だけが続くと離脱しやすい,10秒で巨大価格シールが金色の店長認証バッジへ変形する瞬間,1〜3秒のセルフレジ暴走が説明的になると弱い,,,次は巨大コピー機に吸い込まれる泣き顔クッキー先生でコピー化危機を試す,3〜8秒はレーザー幅、シール量、主役の位置、表情を毎秒変える,商品化ギミックを継続しつつ次はコピー機や宅配箱など別設備へ展開,0秒で赤いレーザーが顔を横切り巨大価格シールが迫る,プリン店長,巨大価格シールが店長認証に変わる原因回収ループ,食品キャラ;プリン;スーパー;セルフレジ;レジスキャナー;15秒構成;ループ,プリン店長;巨大レジスキャナー;価格シール;店長認証;商品化,食品キャラ ショート動画 プリン セルフレジ レーザー,赤いレーザー;巨大価格シール;レシートリボン;金色認証;涙目アップ,焦り;驚き;大逆転;安心;再パニック,0秒;巨大レジスキャナー;読み取られる;商品化;価格シール;ループ,,,,,,,,,,
10,,,巨大コピー機に吸い込まれる泣き顔クッキー先生,,2026/5/9,,ja,YouTube Shorts,,,,2026/5/9,コメディ,食品キャラクターの世界,食品たちが通う学校の明るい職員室,ポジティブでドタバタ,焦りから大逆転,何これ！？から助かったと思ったのに！,,,クッキー先生,クッキー,まじめで面倒見がよく最後に先生らしく踏ん張る,,,,1,0秒で巨大コピー機に吸い込まれる泣き顔クッキー先生,0秒で巨大コピー機の白い光がクッキー先生の顔を照らし紙送り口へ吸い込む,クッキー先生はコピーされるの？,白いコピー光と紙送りローラーが顔の目前にあり逃げ場のないコピー化危機が一瞬で伝わる,中央の泣き顔クッキー先生が白いコピー光に照らされ巨大な紙送り口へ引き込まれる,明るい職員室で巨大コピー機に吸い込まれそうなクッキー先生の涙目絶叫顔,コピー機の白い光が顔面を走り紙送りローラーが回転して主役を吸い込む瞬間,コピー機のガラス面すれすれから見上げる超広角ローアングルで顔面へ急接近,ウィーン、ピピピ、ガコン,コピー化危機から出席簿スタンプへの反転で原因回収する高速ループ,0秒で白いコピー光が顔を照らし紙送りローラーが主役を吸い込む,職員室のプリント用紙が暴走し食品先生たちまでコピーされかける,クッキー先生のチョコチップが黒丸スタンプのように光り紙を集める,飛び出したコピー用紙が巨大出席簿に変形しコピー機を一瞬だけ停止させる,出席簿の丸印が強く光りコピー機の再コピー機能を起動して最初へ戻る,出席簿の丸印が再コピーを起動する原因回収ループ,助かった原因が次のコピー危機になる再起動予告,巨大コピー機,白いコピー光、紙送りローラー、巨大出席簿,巨大サイズ差,コピー用紙が巨大出席簿へ変形,吸引、ローラー回転、紙の渦、スタンプ反発,8,8,8,8,3Dアニメ風,かわいいシネマ調,ガラス面ローアングル急接近、紙の渦に合わせた回転、最後に最初の吸引構図へ戻る,白い蛍光灯と強烈なコピー光から金色の先生スタンプ光へ,茶色のクッキー、白いコピー光、薄緑の職員室、金色スタンプ光,吸い込み、光走査、紙の渦、チョコチップ発光、出席簿変形、再コピー,整理された学校の職員室,白いスキャン光、紙吹雪、紙の竜巻、金色スタンプ光,中,クッキー先生の顔と紙送りローラー,,,ウィーン！ピピピ！ガコン！,高速学校コメディ,コピー音、警告音、ローラー音、紙の渦音、スタンプ音,なし,2026_05_09_giant_copier_codex1.txt,Codex2: analysis-reflected 15秒構成化,0秒で巨大コピー機がクッキー先生を吸い込み、15秒でコピー用紙が巨大出席簿に変形し、その丸印が再コピーを起動してループする,"text, logo, human, horror, gore, dirty, cluttered, static shot, long dialogue, weak danger","15 second 9:16 YouTube Shorts, start from the reference image: cute cookie teacher centered in a bright school staff room, giant photocopier white scanning light flashes across the face, paper feeder rollers pull the cookie toward the slot, camera shake, loose papers fly, the copier spits out pages rapidly, chocolate chips glow like black attendance stamps, pages swirl into a giant attendance book that stops the copier, then the attendance mark glows too brightly and activates the copier again, returning to the first white scan, no text, no logo, anthropomorphic food characters only, fast pacing, cinematic lighting, high contrast",,,,,,,,,,,,,,,,,,,,,,3〜5秒で紙が舞うだけになると離脱しやすい,10秒でコピー用紙の渦が巨大出席簿へ変形する瞬間,1〜3秒の職員室パニックが背景だけになると弱い,,,次は巨大宅配箱に閉じ込められる絶叫カップケーキ配達員で梱包危機を試す,3〜8秒は紙の量、ローラー距離、表情、光色、カメラ角度を毎秒変える,学校設備ギミックを継続しつつ次は下駄箱や黒板消しなど別設備へ展開,0秒で白いコピー光が顔を照らし紙送り口へ吸い込む,クッキー先生,コピー用紙が巨大出席簿に変わる原因回収ループ,食品キャラ;クッキー;学校;職員室;コピー機;15秒構成;ループ,クッキー先生;巨大コピー機;紙送りローラー;出席簿;コピー化,食品キャラ ショート動画 クッキー コピー機 学校,白いコピー光;紙送りローラー;紙の渦;巨大出席簿;涙目アップ,焦り;驚き;大逆転;安心;再パニック,0秒;巨大コピー機;吸い込まれる;コピーされる;紙送り口;ループ,,,,,,,,,,
